YearStart,YearEnd,LocationAbbr,LocationDesc,Question,DataValue,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1
2015,2019,IL,Illinois,"Cervical cancer mortality among all females, underlying cause",2.2,2.1,2.4,Sex,Female
2016,2020,MI,Michigan,"Breast cancer mortality among all females, underlying cause",20.2,19.7,20.7,Sex,Female
2016,2020,ID,Idaho,"Cervical cancer mortality among all females, underlying cause",1.8,1.4,2.2,Sex,Female
2015,2019,NY,New York,"Cervical cancer mortality among all females, underlying cause",2.0,1.9,2.1,Sex,Female
2015,2019,OH,Ohio,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",12.5,12.1,12.8,Sex,Female
2015,2019,OH,Ohio,"Invasive cancer (all sites combined), incidence",516.7,514.2,519.2,Sex,Male
2015,2019,AR,Arkansas,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",12.8,12.1,13.6,Sex,Female
2016,2020,CO,Colorado,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",13.1,12.5,13.8,Sex,Male
2016,2020,ID,Idaho,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",10.9,10.0,11.8,Sex,Female
2015,2019,CA,California,"Lung and bronchial cancer mortality among all people, underlying cause",22.9,22.6,23.2,Sex,Female
2016,2020,CA,California,"Invasive cancer (all sites combined), incidence",403.6,402.3,404.9,Sex,Male
2015,2019,CO,Colorado,"Invasive cancer (all sites combined) mortality among all people, underlying cause",154.5,152.3,156.7,Sex,Male
2016,2020,CT,Connecticut,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",12.6,11.9,13.3,Sex,Male
2016,2020,DC,District of Columbia,"Lung and bronchial cancer mortality among all people, underlying cause",33.2,30.2,36.4,Sex,Male
2016,2020,KY,Kentucky,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",13.6,13.0,14.2,Sex,Female
2016,2020,IL,Illinois,"Invasive cancer (all sites combined) mortality among all people, underlying cause",135.7,134.5,136.8,Sex,Female
2015,2019,MI,Michigan,"Invasive cancer (all sites combined) mortality among all people, underlying cause",141.7,140.4,143.0,Sex,Female
2015,2019,MI,Michigan,"Cervical cancer mortality among all females, underlying cause",1.9,1.8,2.1,Sex,Female
2015,2019,RI,Rhode Island,"Prostate cancer mortality among all males, underlying cause",18.2,16.6,19.9,Sex,Male
2015,2019,MI,Michigan,"Prostate cancer mortality among all males, underlying cause",18.4,17.9,19.0,Sex,Male
2016,2020,MN,Minnesota,"Breast cancer mortality among all females, underlying cause",17.4,16.7,18.0,Sex,Female
2015,2019,VA,Virginia,"Invasive cancer (all sites combined) mortality among all people, underlying cause",130.0,128.6,131.4,Sex,Female
2015,2019,MA,Massachusetts,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",13.4,12.9,14.0,Sex,Male
2015,2019,WY,Wyoming,"Prostate cancer mortality among all males, underlying cause",17.2,15.1,19.4,Sex,Male
2016,2020,IN,Indiana,"Invasive cancer (all sites combined) mortality among all people, underlying cause",201.3,199.2,203.5,Sex,Male
2015,2019,ME,Maine,"Lung and bronchial cancer mortality among all people, underlying cause",52.9,50.8,55.1,Sex,Male
2015,2019,MT,Montana,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",15.4,14.0,16.8,Sex,Male
2016,2020,AK,Alaska,"Prostate cancer mortality among all males, underlying cause",19.6,17.0,22.3,Sex,Male
2015,2019,WY,Wyoming,"Lung and bronchial cancer mortality among all people, underlying cause",27.8,25.4,30.3,Sex,Female
2015,2019,AK,Alaska,"Invasive cancer (all sites combined), incidence",413.4,403.6,423.4,Sex,Female
2015,2019,KY,Kentucky,"Lung and bronchial cancer mortality among all people, underlying cause",47.0,45.9,48.1,Sex,Female
2015,2019,HI,Hawaii,"Lung and bronchial cancer mortality among all people, underlying cause",22.2,20.9,23.5,Sex,Female
2015,2019,MN,Minnesota,"Lung and bronchial cancer mortality among all people, underlying cause",38.1,37.1,39.1,Sex,Male
2015,2019,UT,Utah,"Invasive cancer (all sites combined), incidence",443.6,438.4,448.9,Sex,Male
2016,2020,NE,Nebraska,"Invasive cancer (all sites combined), incidence",498.3,492.2,504.4,Sex,Male
2016,2020,CO,Colorado,"Prostate cancer mortality among all males, underlying cause",21.9,21.0,22.7,Sex,Male
2016,2020,DC,District of Columbia,"Invasive cancer (all sites combined), incidence",389.4,380.3,398.6,Sex,Female
2015,2019,WI,Wisconsin,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",14.8,14.2,15.4,Sex,Male
2016,2020,FL,Florida,"Breast cancer mortality among all females, underlying cause",18.5,18.2,18.8,Sex,Female
2015,2019,TN,Tennessee,"Prostate cancer mortality among all males, underlying cause",19.6,18.9,20.3,Sex,Male
2016,2020,MS,Mississippi,"Prostate cancer mortality among all males, underlying cause",24.3,23.1,25.5,Sex,Male
2016,2020,AZ,Arizona,"Lung and bronchial cancer mortality among all people, underlying cause",31.9,31.1,32.6,Sex,Male
2016,2020,NH,New Hampshire,"Invasive cancer (all sites combined) mortality among all people, underlying cause",130.0,126.8,133.3,Sex,Female
2015,2019,PA,Pennsylvania,"Breast cancer mortality among all females, underlying cause",20.7,20.3,21.2,Sex,Female
2016,2020,MD,Maryland,"Invasive cancer (all sites combined), incidence",490.4,487.0,493.9,Sex,Male
2015,2019,DE,Delaware,"Lung and bronchial cancer mortality among all people, underlying cause",49.2,46.7,51.9,Sex,Male
2016,2020,MN,Minnesota,"Invasive cancer (all sites combined) mortality among all people, underlying cause",169.9,167.8,172.0,Sex,Male
2015,2019,MD,Maryland,"Invasive cancer (all sites combined), incidence",431.4,428.3,434.4,Sex,Female
2016,2020,CA,California,"Invasive cancer (all sites combined), incidence",371.0,369.8,372.1,Sex,Female
2015,2019,MD,Maryland,"Breast cancer mortality among all females, underlying cause",21.0,20.3,21.7,Sex,Female
2015,2019,FL,Florida,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",15.1,14.8,15.4,Sex,Male
2016,2020,DC,District of Columbia,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",15.9,13.9,18.2,Sex,Male
2015,2019,TX,Texas,"Lung and bronchial cancer mortality among all people, underlying cause",40.8,40.3,41.3,Sex,Male
2016,2020,GA,Georgia,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",17.1,16.6,17.7,Sex,Male
2015,2019,AR,Arkansas,"Lung and bronchial cancer mortality among all people, underlying cause",64.4,62.7,66.1,Sex,Male
2015,2019,NV,Nevada,"Breast cancer mortality among all females, underlying cause",22.0,21.0,23.0,Sex,Female
2015,2019,DC,District of Columbia,"Lung and bronchial cancer mortality among all people, underlying cause",35.5,32.4,38.9,Sex,Male
2015,2019,MT,Montana,"Prostate cancer mortality among all males, underlying cause",22.2,20.5,23.9,Sex,Male
2015,2019,CO,Colorado,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",13.1,12.5,13.8,Sex,Male
2015,2019,MD,Maryland,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",15.8,15.2,16.5,Sex,Male
2015,2019,CT,Connecticut,"Invasive cancer (all sites combined) mortality among all people, underlying cause",164.7,162.1,167.2,Sex,Male
2015,2019,MT,Montana,"Invasive cancer (all sites combined) mortality among all people, underlying cause",129.1,125.4,133.0,Sex,Female
2015,2019,PA,Pennsylvania,"Invasive cancer (all sites combined), incidence",459.5,457.4,461.6,Sex,Female
2016,2020,DE,Delaware,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",10.8,9.7,12.0,Sex,Female
2016,2020,CT,Connecticut,"Invasive cancer (all sites combined) mortality among all people, underlying cause",162.2,159.7,164.7,Sex,Male
2016,2020,HI,Hawaii,"Invasive cancer (all sites combined) mortality among all people, underlying cause",151.4,147.8,155.2,Sex,Male
2015,2019,WY,Wyoming,"Invasive cancer (all sites combined), incidence",434.2,424.2,444.5,Sex,Male
2015,2019,NH,New Hampshire,"Invasive cancer (all sites combined) mortality among all people, underlying cause",181.6,177.4,186.0,Sex,Male
2015,2019,WA,Washington,"Lung and bronchial cancer mortality among all people, underlying cause",38.2,37.3,39.1,Sex,Male
2016,2020,KS,Kansas,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",11.9,11.2,12.6,Sex,Female
2016,2020,GA,Georgia,"Breast cancer mortality among all females, underlying cause",20.8,20.3,21.3,Sex,Female
2015,2019,SC,South Carolina,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",11.1,10.6,11.6,Sex,Female
2015,2019,FL,Florida,"Invasive cancer (all sites combined), incidence",506.8,505.1,508.5,Sex,Male
2016,2020,CA,California,"Lung and bronchial cancer mortality among all people, underlying cause",29.8,29.4,30.1,Sex,Male
2015,2019,NC,North Carolina,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",15.5,15.0,16.0,Sex,Male
2016,2020,MT,Montana,"Lung and bronchial cancer mortality among all people, underlying cause",28.8,27.1,30.6,Sex,Female
2015,2019,IA,Iowa,"Invasive cancer (all sites combined) mortality among all people, underlying cause",190.1,187.2,193.0,Sex,Male
2016,2020,DE,Delaware,"Breast cancer mortality among all females, underlying cause",20.8,19.3,22.5,Sex,Female
2016,2020,NE,Nebraska,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",16.8,15.7,18.0,Sex,Male
2016,2020,IA,Iowa,"Prostate cancer mortality among all males, underlying cause",20.3,19.3,21.2,Sex,Male
2016,2020,DE,Delaware,"Invasive cancer (all sites combined) mortality among all people, underlying cause",190.4,185.3,195.6,Sex,Male
2016,2020,MN,Minnesota,"Lung and bronchial cancer mortality among all people, underlying cause",28.7,27.9,29.5,Sex,Female
2015,2019,ID,Idaho,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",11.0,10.1,11.9,Sex,Female
2016,2020,NH,New Hampshire,"Lung and bronchial cancer mortality among all people, underlying cause",34.0,32.4,35.7,Sex,Female
2015,2019,ND,North Dakota,"Breast cancer mortality among all females, underlying cause",18.0,16.3,20.0,Sex,Female
2016,2020,HI,Hawaii,"Invasive cancer (all sites combined) mortality among all people, underlying cause",105.5,102.6,108.5,Sex,Female
2016,2020,ID,Idaho,"Lung and bronchial cancer mortality among all people, underlying cause",32.4,30.8,34.1,Sex,Male
2015,2019,AL,Alabama,"Invasive cancer (all sites combined), incidence",515.5,511.6,519.3,Sex,Male
2015,2019,MN,Minnesota,"Invasive cancer (all sites combined) mortality among all people, underlying cause",127.3,125.6,129.0,Sex,Female
2015,2019,LA,Louisiana,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",13.1,12.5,13.7,Sex,Female
2016,2020,MI,Michigan,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",15.7,15.3,16.2,Sex,Male
2016,2020,AL,Alabama,"Prostate cancer mortality among all males, underlying cause",20.2,19.4,21.1,Sex,Male
2015,2019,AZ,Arizona,"Invasive cancer (all sites combined) mortality among all people, underlying cause",115.9,114.5,117.3,Sex,Female
2015,2019,MO,Missouri,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",11.7,11.2,12.2,Sex,Female
2016,2020,IN,Indiana,"Lung and bronchial cancer mortality among all people, underlying cause",55.3,54.2,56.4,Sex,Male
2016,2020,AZ,Arizona,"Invasive cancer (all sites combined) mortality among all people, underlying cause",154.8,153.2,156.5,Sex,Male
2015,2019,WI,Wisconsin,"Cervical cancer mortality among all females, underlying cause",1.6,1.4,1.8,Sex,Female
2015,2019,WI,Wisconsin,"Lung and bronchial cancer mortality among all people, underlying cause",43.4,42.4,44.5,Sex,Male
2015,2019,CA,California,"Breast cancer mortality among all females, underlying cause",19.1,18.9,19.4,Sex,Female
2016,2020,MT,Montana,"Invasive cancer (all sites combined), incidence",494.5,486.9,502.2,Sex,Male
2015,2019,WV,West Virginia,"Breast cancer mortality among all females, underlying cause",21.6,20.5,22.8,Sex,Female
2016,2020,MI,Michigan,"Cervical cancer mortality among all females, underlying cause",1.9,1.8,2.1,Sex,Female
2016,2020,MN,Minnesota,"Prostate cancer mortality among all males, underlying cause",19.6,18.9,20.3,Sex,Male
2015,2019,MA,Massachusetts,"Invasive cancer (all sites combined) mortality among all people, underlying cause",176.3,174.4,178.3,Sex,Male
2016,2020,ID,Idaho,"Invasive cancer (all sites combined) mortality among all people, underlying cause",126.7,123.6,129.8,Sex,Female
2016,2020,HI,Hawaii,"Invasive cancer (all sites combined), incidence",392.6,386.7,398.7,Sex,Female
2015,2019,HI,Hawaii,"Invasive cancer (all sites combined), incidence",398.5,392.5,404.6,Sex,Female
2016,2020,AR,Arkansas,"Lung and bronchial cancer mortality among all people, underlying cause",38.5,37.3,39.7,Sex,Female
2015,2019,PA,Pennsylvania,"Invasive cancer (all sites combined) mortality among all people, underlying cause",191.8,190.4,193.2,Sex,Male
2016,2020,HI,Hawaii,"Prostate cancer mortality among all males, underlying cause",14.9,13.8,16.1,Sex,Male
2016,2020,DC,District of Columbia,"Cervical cancer mortality among all females, underlying cause",2.4,1.8,3.3,Sex,Female
2016,2020,ME,Maine,"Breast cancer mortality among all females, underlying cause",17.7,16.5,18.9,Sex,Female
2015,2019,VT,Vermont,"Prostate cancer mortality among all males, underlying cause",19.7,17.7,21.9,Sex,Male
2015,2019,NJ,New Jersey,"Invasive cancer (all sites combined), incidence",455.6,453.1,458.1,Sex,Female
2016,2020,NV,Nevada,"Lung and bronchial cancer mortality among all people, underlying cause",37.3,35.9,38.6,Sex,Male
2015,2019,NC,North Carolina,"Lung and bronchial cancer mortality among all people, underlying cause",33.3,32.7,33.9,Sex,Female
2015,2019,MT,Montana,"Cervical cancer mortality among all females, underlying cause",1.5,1.1,2.1,Sex,Female
2016,2020,FL,Florida,"Invasive cancer (all sites combined), incidence",487.3,485.7,489.0,Sex,Male
2016,2020,KY,Kentucky,"Invasive cancer (all sites combined), incidence",472.6,468.9,476.3,Sex,Female
2015,2019,DC,District of Columbia,"Invasive cancer (all sites combined) mortality among all people, underlying cause",141.0,135.6,146.5,Sex,Female
2015,2019,CO,Colorado,"Lung and bronchial cancer mortality among all people, underlying cause",23.0,22.3,23.8,Sex,Female
2015,2019,MI,Michigan,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",15.9,15.4,16.4,Sex,Male
2015,2019,AR,Arkansas,"Invasive cancer (all sites combined) mortality among all people, underlying cause",212.2,209.1,215.4,Sex,Male
2015,2019,UT,Utah,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",12.2,11.3,13.1,Sex,Male
2016,2020,KY,Kentucky,"Cervical cancer mortality among all females, underlying cause",2.7,2.4,3.0,Sex,Female
2015,2019,AZ,Arizona,"Cervical cancer mortality among all females, underlying cause",2.1,1.9,2.3,Sex,Female
2015,2019,DE,Delaware,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",11.0,9.9,12.2,Sex,Female
2015,2019,OK,Oklahoma,"Lung and bronchial cancer mortality among all people, underlying cause",39.3,38.3,40.5,Sex,Female
2015,2019,GA,Georgia,"Cervical cancer mortality among all females, underlying cause",2.3,2.2,2.5,Sex,Female
2016,2020,NH,New Hampshire,"Cervical cancer mortality among all females, underlying cause",1.4,1.1,1.9,Sex,Female
2015,2019,OR,Oregon,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",11.1,10.5,11.7,Sex,Female
2015,2019,MI,Michigan,"Invasive cancer (all sites combined), incidence",422.3,419.9,424.6,Sex,Female
2016,2020,CA,California,"Breast cancer mortality among all females, underlying cause",18.8,18.6,19.1,Sex,Female
2015,2019,NM,New Mexico,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",10.3,9.5,11.1,Sex,Female
2016,2020,NV,Nevada,"Invasive cancer (all sites combined) mortality among all people, underlying cause",133.6,131.2,136.0,Sex,Female
2015,2019,SC,South Carolina,"Invasive cancer (all sites combined) mortality among all people, underlying cause",198.0,195.6,200.4,Sex,Male
2015,2019,HI,Hawaii,"Cervical cancer mortality among all females, underlying cause",1.7,1.3,2.1,Sex,Female
2015,2019,DE,Delaware,"Cervical cancer mortality among all females, underlying cause",2.3,1.8,2.9,Sex,Female
2015,2019,VA,Virginia,"Invasive cancer (all sites combined) mortality among all people, underlying cause",183.1,181.2,184.9,Sex,Male
2016,2020,AL,Alabama,"Invasive cancer (all sites combined), incidence",398.8,395.6,402.0,Sex,Female
2016,2020,MD,Maryland,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",15.7,15.0,16.3,Sex,Male
2016,2020,MO,Missouri,"Invasive cancer (all sites combined) mortality among all people, underlying cause",195.7,193.6,197.9,Sex,Male
2015,2019,AL,Alabama,"Breast cancer mortality among all females, underlying cause",21.4,20.7,22.2,Sex,Female
2016,2020,MO,Missouri,"Invasive cancer (all sites combined), incidence",429.8,426.8,432.8,Sex,Female
2015,2019,SD,South Dakota,"Invasive cancer (all sites combined) mortality among all people, underlying cause",185.0,179.6,190.6,Sex,Male
2015,2019,MO,Missouri,"Cervical cancer mortality among all females, underlying cause",2.4,2.2,2.6,Sex,Female
2015,2019,OR,Oregon,"Invasive cancer (all sites combined) mortality among all people, underlying cause",177.6,175.1,180.0,Sex,Male
2016,2020,MD,Maryland,"Lung and bronchial cancer mortality among all people, underlying cause",29.3,28.5,30.0,Sex,Female
2016,2020,KS,Kansas,"Invasive cancer (all sites combined) mortality among all people, underlying cause",183.7,180.6,186.7,Sex,Male
2016,2020,MN,Minnesota,"Invasive cancer (all sites combined), incidence",448.7,445.5,452.0,Sex,Female
2015,2019,HI,Hawaii,"Invasive cancer (all sites combined) mortality among all people, underlying cause",108.5,105.6,111.6,Sex,Female
2016,2020,MN,Minnesota,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",14.0,13.4,14.6,Sex,Male
2015,2019,MS,Mississippi,"Lung and bronchial cancer mortality among all people, underlying cause",37.3,36.1,38.5,Sex,Female
2015,2019,FL,Florida,"Invasive cancer (all sites combined), incidence",437.0,435.4,438.6,Sex,Female
2016,2020,KS,Kansas,"Invasive cancer (all sites combined), incidence",429.0,424.6,433.6,Sex,Female
2015,2019,NH,New Hampshire,"Breast cancer mortality among all females, underlying cause",18.1,16.9,19.4,Sex,Female
2015,2019,DC,District of Columbia,"Breast cancer mortality among all females, underlying cause",25.3,23.1,27.7,Sex,Female
2015,2019,NM,New Mexico,"Lung and bronchial cancer mortality among all people, underlying cause",30.0,28.6,31.5,Sex,Male
2015,2019,ID,Idaho,"Cervical cancer mortality among all females, underlying cause",1.7,1.4,2.2,Sex,Female
2016,2020,HI,Hawaii,"Lung and bronchial cancer mortality among all people, underlying cause",20.8,19.5,22.0,Sex,Female
2015,2019,GA,Georgia,"Breast cancer mortality among all females, underlying cause",21.1,20.6,21.6,Sex,Female
2015,2019,OR,Oregon,"Lung and bronchial cancer mortality among all people, underlying cause",31.8,30.9,32.8,Sex,Female
2015,2019,DC,District of Columbia,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",16.9,14.8,19.3,Sex,Male
2015,2019,ND,North Dakota,"Invasive cancer (all sites combined) mortality among all people, underlying cause",124.0,119.3,128.7,Sex,Female
2015,2019,IN,Indiana,"Invasive cancer (all sites combined) mortality among all people, underlying cause",143.9,142.3,145.5,Sex,Female
2015,2019,NH,New Hampshire,"Lung and bronchial cancer mortality among all people, underlying cause",36.1,34.4,37.9,Sex,Female
2016,2020,AL,Alabama,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",12.0,11.5,12.5,Sex,Female
2016,2020,GA,Georgia,"Lung and bronchial cancer mortality among all people, underlying cause",28.9,28.3,29.5,Sex,Female
2016,2020,MT,Montana,"Lung and bronchial cancer mortality among all people, underlying cause",32.8,30.8,34.8,Sex,Male
2016,2020,MO,Missouri,"Breast cancer mortality among all females, underlying cause",19.8,19.2,20.5,Sex,Female
2015,2019,VT,Vermont,"Invasive cancer (all sites combined) mortality among all people, underlying cause",188.1,181.9,194.5,Sex,Male
2015,2019,DC,District of Columbia,"Invasive cancer (all sites combined), incidence",399.4,390.2,408.8,Sex,Female
2015,2019,TX,Texas,"Invasive cancer (all sites combined), incidence",464.8,463.1,466.5,Sex,Male
2015,2019,MT,Montana,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",10.3,9.2,11.4,Sex,Female
2016,2020,KS,Kansas,"Breast cancer mortality among all females, underlying cause",19.8,18.9,20.8,Sex,Female
2015,2019,TX,Texas,"Invasive cancer (all sites combined), incidence",388.5,387.1,390.0,Sex,Female
2015,2019,WA,Washington,"Lung and bronchial cancer mortality among all people, underlying cause",30.5,29.8,31.2,Sex,Female
2015,2019,WY,Wyoming,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",11.0,9.5,12.7,Sex,Female
2016,2020,NV,Nevada,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",12.4,11.7,13.1,Sex,Female
2016,2020,LA,Louisiana,"Invasive cancer (all sites combined) mortality among all people, underlying cause",205.6,203.0,208.3,Sex,Male
2015,2019,SC,South Carolina,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",16.9,16.2,17.6,Sex,Male
2016,2020,FL,Florida,"Invasive cancer (all sites combined) mortality among all people, underlying cause",166.5,165.5,167.4,Sex,Male
2016,2020,MI,Michigan,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",11.5,11.1,11.8,Sex,Female
2015,2019,AR,Arkansas,"Cervical cancer mortality among all females, underlying cause",3.4,3.0,3.8,Sex,Female
2015,2019,VT,Vermont,"Invasive cancer (all sites combined) mortality among all people, underlying cause",137.2,132.4,142.2,Sex,Female
